id2,id,keyword,translation,hidden_from_timeline
2,8,哈儿律师+抄家,Lawyer Har+search home and confiscate property,1
4,10,浦+律师+失踪,Pu+lawyer+missing,1
5,11,浦+律师+抄家,Pu+laywer+search home and confiscate property,1
7,15,曾庆红+儿子,Zeng Qinghong+son,1
8,16,曾庆红+陈峰,Zeng Qinghong+Chen Feng,1
9,17,曾庆红+刘振亚,Zeng Qinghong+Liu Zhenya,1
10,18,曾伟+鲁能,Zeng Wei+Luneng,1
24,37,老老虎,old tiger,1
30,48,申维辰+谭晶,Shen Weichen+Tan Jing,1
32,50,习近平+前妻,Xi Jinping+former wife,1
34,52,丁家喜+法院,Ding Jiaxi+court,1
35,53,丁家喜+旁听,Ding Jiaxi+observe [trial],1
36,54,丁家喜+财产公示,Ding Jiaxi+financial disclosure,1
37,55,丁家喜+官员财产,Ding Jiaxi+officials' assets,1
43,61,赵常青,Zhao Changqing,1
52,86,Freeweibo,Freeweibo,1
55,90,习+集权,Xi+centralization of state power,1
57,92,席主席,President Mat,1
58,93,除习,remove Xi,1
66,103,西门桥+宝马车司机+新疆疑犯,Ximenqiao+BMW driver+Xinjiang suspect,1
70,107,贺锦涛,He Jintao,1
72,109,曹顺利,Cao Shunli,1
75,112,丁家喜+赵常青,Ding Jiaxi+Zhao Changqing,1
86,124,习+最近严厉讲话,Xi+most recent stern speech,1
90,128,尚福林+137亿,Shang Fulin+13.7 billion,1
91,129,尚福林+敛财,Shang Fulin+gain wealth by unfair means,1
93,131,尚福林+巨贪,Shang Fulin+extremely corrupt,1
94,132,尚福林+辞职,Shang Fulin+resign,1
99,138,李东生+性贿赂,Li Dongsheng+sexual bribe,1
102,141,解放军301+炸弹,PLA 301+bomb,1
108,156,香港商报+中纪委,Hong Kong Commercial Daily+Central Discipline Commission,1
109,157,中纪委+大老虎,Central Discipline Commission+big tiger,1
110,158,常委+财产,Standing Committee member+assets,1
142,193,曹建明+调查,Cao Jianming+investigate,1
165,220,至宪党,Zhi Xian Party,1
167,222,天安门+撒传单,Tiananmen+scatter pamphlets,1
169,225,天安门+爆炸,Tiananmen+explosion,1
175,244,刁明泽,Xi Mingze,1
183,252,刁远平,Diao Yuanping,1
192,266,习梦撕,Xi The Dream-Ripper,1
194,268,习梦撕（指习,Doctor [of Philosophy] Xi ,1
195,270,刘美珣,Liu Meixun,1
196,271,半羽,Half-Feather,1
200,275,习+司令,Xi+commanding officer,1
206,284,党内斗争,internal Party struggle,1
210,291,马云+六四,Jack Ma+Six Four,1
224,316,呆婊,stupid prostitutes,1
227,324,习帝,Emperor Xi [Jinping],1
253,389,陆四,six four,1
254,394,六four,six four,1
255,395,six四,six four,1
256,396,six+four,six+four,1
260,420,学运,student movement,1
261,421,学潮,student strike,1
263,429,赵紫阳,Zhao Ziyang,1
282,466,邓卓棣+性骚扰,Deng Zhuodi+sexual harassment,1
284,484,财产公示+九君子,financial disclosure+nine gentlemen,1
288,497,总理+影帝,prime minister+movie star,1
289,498,三峡+四川地震,Three Gorges+Sichuan earthquake,1
300,528,统筹两个舆论场,coordinate two spaces for public opinion,1
307,540,xi主席,Chairman xi,1
320,565,江派,Jiang faction,1
323,578,胡习,Hu-Xi,1
326,588,yu素鸡,yu veggie chicken,1
327,589,蛤蟆精,Toad Spirit,1
335,607,送温神,see off the god Wen,1
342,625,刁总,President Sly,1
343,626,刁主席,Chairman Sly,1
355,682,李克强+PS,Li Keqiang + PS,1
357,685,俞正声+家族,Yu Zhengsheng + family,1
386,736,刘永清,Liu Yongqing,1
391,748,七长老,Seven Elders,1
410,818,温太子,Crown Prince Wen,1
419,871,百鸡王,King of the Hundred Chickens,1
444,1011,boxun,boxun,1
457,1141,习公主,Princess Xi,1
481,1294,政法委+武警,Politics and Law Commission + armed police,1
497,1320,江+蛤蟆,Jiang + toad,1
499,1322,zhou永康,zhou Yongkang,1
513,1349,天线宝宝+康师傅,Teletubby + Kang Shifu,1
533,1459,中国之春,Chinese Spring,1
535,1461,高自联,Capital Autonomous Federation of University Students,1
554,1552,博讯,Boxun,1
562,1586,北戴河会议,Beidaihe Meeting,1
570,1617,血染的风采,Bloodstained Glory,1
590,1707,陆四,"Lu four [sounds like ""liu si"" 64]",1
592,1710,瘟家保,Wen Jiabao,1
605,1790,张澜澜,Zhang Lanlan [Zhang Xiaoxue],1
608,1800,退党,leave the Party,1
609,1801,暴政,tyranny,1
613,1818,毛腊肉,Mao Cured-meat (Mao Zedong),1
614,1819,土共,tugong (Hong Kong supporters of the CCP),1
615,1821,人民报,People's Paper (overseas),1
622,1857,谭作人,Tan Zuoren,1
629,1864,血染的风采,Bloodstained Glory (patriotic song),1
630,1867,中国民主党,Chinese Democratic Party,1
634,1874,5月35日,May 35th,1
635,1879,坦克人,Tank Man,1
636,1881,真理部,Ministry of Truth,1
637,1882,网管办,Internet Management Office,1
641,1899,北京当局,Beijing authorities,1
647,1932,网管办,Internet Management Office,1
649,1934,真理部,Ministry of Truth,1
661,2028,六四,six four,1
666,2042,赵紫阳,Zhao Ziyang,1
667,2044,丁子霖,Ding Zilin,1
669,2049,坦克人,Tank Man,1
670,2051,5月35日,May 35th,1
679,2069,89学潮,89 student strike,1
681,2073,89事件,89 incident,1
683,2075,推翻共党,topple the Communist Party,1
687,2082,六四学运,Six-Four student movement,1
688,2083,六四学潮,Six-Four student strike,1
691,2088,打倒共党,strike down the CCP,1
692,2089,一党独裁,one-party dictatorship,1
703,2106,推翻共产党,topple the Communist Party,1
711,2123,共匪,communist bandit,1
719,2148,一党专政,one-party dictatorship,1
728,2165,六四事件,Six-Four Incident,1
736,2195,上海帮,Shanghai gang,1
739,2203,网管办,Internet Management Office,1
755,2256,法轮功,Falungong,1
756,2257,赵紫阳,Zhao Ziyang,1
757,2259,李洪志,Li Hongzhi,1
761,2263,08宪章,Charter 08,1
762,2264,吾尔开希,Wu'erkaixi,1
763,2266,六四运动,June Fourth Movement,1
764,2267,打倒共产党,overthrow the Communist Party,1
765,2270,魏京生,Wei Jingsheng,1
769,2310,三唑仑,Triazolam,1
774,2335,平反六四,redress June Fourth,1
775,2353,博讯新闻网,Boxun News Net,1
776,2360,推翻中国共产党,topple the Chinese Communist Party,1
