id2,id,keyword,translation,wait_msg
263,429,赵紫阳,Zhao Ziyang,1
497,1320,江+蛤蟆,Jiang + toad,1
533,1459,中国之春,Chinese Spring,1
535,1461,高自联,Capital Autonomous Federation of University Students,1
615,1821,人民报,People's Paper (overseas),1
630,1867,中国民主党,Chinese Democratic Party,1
641,1899,北京当局,Beijing authorities,1
666,2042,赵紫阳,Zhao Ziyang,1
667,2044,丁子霖,Ding Zilin,1
755,2256,法轮功,Falungong,1
756,2257,赵紫阳,Zhao Ziyang,1
757,2259,李洪志,Li Hongzhi,1
762,2264,吾尔开希,Wu'erkaixi,1
765,2270,魏京生,Wei Jingsheng,1
