id2,id,keyword,translation,cant_post
122,171,习明（泽）,Xi Ming[ze],1
148,203,周永糠,Zhou Yong-bran [kang],1
186,256,周永kang,Zhou Yongkang,1
197,272,习三胖,Xi Third-Fatty,1
238,342,刁哥,Brother Sly,1
247,357,peng+liyuan,peng+liyuan,1
277,457,gong匪,gong bandits,1
290,499,西金平,West Gold-peace (Xi Jinping),1
291,500,西晋平,Western Jin Peace (Xi Jinping),1
292,501,洗尽平,Fully-washed Peace,1
293,502,洗净平,Whistle-clean Peace (Xi Jinping),1
295,504,锡金瓶,Sikkim Bottle (Xi Jinping),1
328,594,误邦国,Wu Bangguo,1
332,598,无帮国,Wu Bangguo,1
364,696,令JH,Ling JH,1
373,717,习JP,XiJP,1
379,726,jiaqinglin,jiaqinglin,1
394,760,屎粑大,the shit cake is big,1
397,766,死八大,die eight big,1
413,840,刁哥,Brother Sly,1
415,866,X近平,XJinping,1
420,877,鱼素鸡,FIsh Veggie Chicken,1
437,973,齐桥桥,Qi Qiaoqiao,1
438,974,齐安安,Qi An'an,1
439,975,邓家贵,Deng Jiagui,1
440,977,张燕南,Zhang Yannan,1
458,1142,习+明泽,Xi + Mingze,1
472,1250,习储君,Crown Prince Xi,1
473,1261,习禁评,Xi Cannot-Comment,1
495,1318,胡core,Hu core,1
497,1320,江+蛤蟆,Jiang + toad,1
498,1321,周永k,Zhou Yongk,1
500,1323,江胡斗,Jiang-Hu fight,1
507,1339,习+太子,Xi + princeling,1
510,1343,周YK,Zhou YK,1
529,1450,影帝温,Movie Star Wen,1
539,1469,lichangchun,lichangchun,1
549,1542,习太子,Princeling Xi,1
550,1543,习王储,Crown Prince Xi,1
582,1687,wenjiabao,wenjiabao,1
583,1688,jiangzemin,jiangzemin,1
584,1689,wubangguo,wubangguo,1
593,1711,瘟假报,Wen Jiabao,1
594,1712,温假报,Wen Jiabao,1
612,1806,胡+温,Hu + Wen,1
620,1854,温影帝,Movie Star Wen [Jiabao],1
652,1966,江主席,Chairman Jiang,1
658,1980,江core,Jiang core,1
673,2061,江家帮,Jiang family gang,1
685,2077,中共暴政,CCP tyranny,1
695,2093,胡温政治,Hu-Wen politics,1
696,2094,胡温政体,Hu-Wen system of government,1
697,2095,胡温核心,Hu-Wen inner circle,1
698,2096,胡温暴政,Hu-Wen tyranny,1
704,2108,胡温接班人,Hu-Wen successors,1
711,2123,共匪,communist bandit,1
724,2161,共惨党,Commu-cruel Party,1
726,2163,共残党 ,Commu-crush Party,1
729,2166,胡温新政,Hu-Wen new policy,1
731,2173,胡温,Hu-Wen,1
737,2200,瘟家宝,Plague [Wen] Jiabao,1
753,2254,共铲党,Shared Shovel Party,1
764,2267,打倒共产党,overthrow the Communist Party,1
766,2271,胡紧掏,Hu Tight-pull (Hú Jǐntāo),1
767,2272,温加饱,Warm Add-full (Wēn Jiābǎo),1
774,2335,平反六四,redress June Fourth,1
